"File","IMOnum","Name"
"USA","null","MAR AZUL"
"USA","7406784","EBANO"
"USA","7206512","TIFON"
"USA","9187629","ARTAVIL"
"USA","9187655","ARK III"
"USA","9187667","ARGO I"
"USA","9187643","ARNICA"
"USA","9187631","APAMA"
"USA","8508462","BANEH"
"USA","9218478","DIAMOND II"
"USA","9356593","DREAM II"
"USA","9218492","DEEP SEA"
"USA","9357717","DORE"
"USA","9218466","DOVER"
"USA","9218454","DEVON"
"USA","9218480","DOWNY"
"USA","9283760","FOREST"
"USA","9362073","HERO II"
"USA","9212929","HENNA"
"USA","9357406","AMBER"
"USA","9212917","HASNA"
"USA","9357183","HUGE"
"USA","9212905","HAPPINESS I"
"USA","9357391","HELM"
"USA","9362059","HERBY"
"USA","9357389","HILDA I"
"USA","9362061","HAWK"
"USA","9212890","HALTI"
"USA","9212888","HEDY"
"USA","9404546","IMICO NEKA 455"
"USA","9283746","FORTUNE"
"USA","8517243","MARIVAN"
"USA","9079107","NASHA"
"USA","9079078","NAVARZ"
"USA","9079066","NAROON"
"USA","9569205","SEA STAR III"
"USA","9172040","SABITI"
"USA","8517231","SARDASHT"
"USA","9357377","SALINA"
"USA","9172052","SILVIA I"
"USA","9171462","SANAN"
"USA","9171450","STARK I"
"USA","9357353","SEVIN"
"USA","9357365","SONIA I"
"USA","9569657","SEA CLIFF"
"USA","9569633","STREAM"
"USA","9569645","SERENA"
"USA","9569619","SNOW"
"USA","9172038","SINOPA"
"USA","8318178","TOLOU"
"USA","8400103","VALFAJR2"
"USA","8316168","YAGHOUB"
"USA","8316106","YOUSEF"
"USA","9177155","DESTINY"
"USA","9183934","FELICITY"
"USA","9180281","HUMANITY"
"USA","8407345","BADR"
"USA","9569621","STARLA"
"USA","9569683","DANIEL"
"USA","9569671","DINO I"
"USA","9615092","MARIA III"
"USA","9569669","DORENA"
"USA","8212465","YOUNES"
"USA","9357729","DAN"
"USA","7937317","CHONG CHON GANG"
"USA","8132835","AM NOK GANG"
"USA","7944683","BAEK MA KANG"
"USA","7944695","DAI HONG DAN"
"USA","8405270","HWANG GUM SAN 2"
"USA","8018900","HYOK SIN 2"
"USA","8133530","JANG JA SAN CHONG NYON HO"
"USA","8018912","JON JIN 2"
"USA","7411260","DOK CHON"
"USA","8328197","MU DU BONG"
"USA","8330815","O UN CHONG NYON HO"
"USA","8829555","PO THONG GANG"
"USA","7632955","PHO THAE"
"USA","8829593","PI RUY GANG"
"USA","8819017","RAK WON 2"
"USA","7640378","RYONG GANG 2"
"USA","null","RYONG GUN BONG"
"USA","7738656","TAE DONG GANG"
"USA","9385233","FINIKIA"
"USA","9274343","LAODICEA"
"USA","9274331","SOURIA"
"USA","8012114","TALA"
"USA","8002664","BLUE DREAM"
"USA","8800298","BLUE WAY"
"USA","7909839","BLUEGAS"
"USA","8810700","GREEN LIGHT"
"USA","7529641","AQUA"
"USA","8016835","MARIANA"
"USA","9110236","DAWNLIGHT"
"USA","8914934","EVER BRIGHT 88"
"USA","8405402","GOLD STAR 3"
"USA","8602531","JH 86"
"USA","9163154","JIN TAI"
"USA","9163166","JIN TENG"
"USA","9333589","ORION STAR"
"USA","8412467","SOUTH HILL 2"
"USA","9138680","SOUTH HILL 5"
"USA","8511823","GRAND KARO"
"USA","8909575","CHONG BONG"
"USA","8916293","CHONG RIM 2"
"USA","8312227","VICTORY 2"
"USA","9041552","HOE RYONG"
"USA","8713471","MI RIM"
"USA","9361407","MI RIM 2"
"USA","8625545","RA NAM 2"
"USA","9314650","RA NAM 3"
"USA","8987333","RYO MYONG"
"USA","9009085","THAE PYONG SAN"
"USA","8661575","TONG HUNG 1"
"USA","9690224","MARSHAL ZHUKOV"
"USA","9690212","STALINGRAD"
"USA","9159787","WON SAN 2"
"USA","8898738","ZA RYOK 2"
"USA","8898831","7-28"
"USA","9096791","YU SONG 12"
"USA","8400854","YU SONG 7"
"USA","8203933","JANG GYONG"
"USA","8661850","KUM SONG 3"
"USA","8661719","KUM SONG 5"
"USA","8739396","KUM SONG 7"
"USA","8705539","KUM UN SAN 3"
"USA","7506118","RAK RANG"
"USA","8703933","PU HUNG 1"
"USA","8989795","RUNG RA DO"
"USA","6401828","YANG GAK DO"
"USA","8713457","RUNG RA 1"
"USA","9020534","RUNG RA 2"
"USA","6908096","KANG SONG 1"
"USA","8983404","KU BONG RYONG"
"USA","7389704","RYE SONG GANG 1"
"USA","8658267","SO BAEK SAN"
"USA","6421660","THEODOROS"
"USA","8023670","PROGRES"
"USA","null","BONU 5"
"USA","8688171","MARIE DE LOURDES"
"USA","8688183","MARIE DE LOURDES I"
"USA","9809277","MARIE DE LOURDES V"
"USA","8799619","ZEUS"
"USA","8201870","GOO RYONG"
"USA","8217685","HWA SONG"
"USA","8720436","KUM UN SAN"
"USA","8514409","UN RYUL"
"USA","8909915","EVER GLORY"
"USA","9114555","UL JI BONG 6"
"USA","8712362","CHON MYONG 1"
"USA","8122347","NAM SAN 8"
"USA","9066540","HAP JANG GANG 6"
"USA","8660313","CHON MA SAN"
"USA","7303803","AN SAN 1"
"USA","8966535","KUM GANG 3"
"USA","8605026","YU PHYONG 5"
"USA","8405311","SAM JONG 1"
"USA","7408873","SAM JONG 2"
"USA","8106496","SAM MA 2"
"USA","8604917","YU JONG 2"
"USA","9066978","PAEK MA"
"USA","8898740","JI SONG 6"
"USA","8503228","JI SONG 8"
"USA","8408595","WOORY STAR"
"USA","8848276","PO CHON"
"USA","8613360","SONG WON"
"USA","8151415","TONG HUNG 5"
"USA","8691702","YU SON"
"USA","9020003","HUA FU"
"USA","9115028","ORIENTAL TREASURE"
"USA","8747604","HAO FAN 2"
"USA","8628597","HAO FAN 6"
"USA","9004700","XIN GUANG HAI"
"USA","8916580","ASIA BRIDGE 1"
"USA","9008201","DONG FENG 6"
"USA","9417115","KOTI"
"USA","9030591","YUK TUNG"
"USA","9003550","PATRIOT"
"USA","8404991","NEPTUN"
"USA","8808264","BELLA"
"USA","9085730","BOGATYR"
"USA","9113020","PARTIZAN"
"USA","9235127","SEVASTOPOL"
"USA","8605234","DORITA"
"USA","9367982","GILDA"
"USA","9137258","KADOS"
"USA","8721351","KASMA"
"USA","9137246","NARDIS"
"USA","9118551","PARAND"
"USA","9076478","PARIN"
"USA","9245316","PARMIS"
"USA","9137210","PATRIS"
"USA","8215742","SABRINA"
"USA","9367994","SANIA"
"USA","8203608","SARINA"
"USA","9368003","SARIR"
"USA","9368015","SOMIA"
"USA","9245304","TARADIS"
"USA","9010723","VIANA"
"USA","9010711","VISTA"
"USA","8984484","AAJ"
"USA","9683570","AYNAZ"
"USA","9138056","BRELYAN"
"USA","9103099","FIROUZEH"
"USA","8422072","IRAN HORMUZ 25"
"USA","7904580","HORMUZ 2"
"USA","9005596","IRAN HORMUZ 12"
"USA","9020778","IRAN HORMUZ 14"
"USA","9184691","IRAN SHAHED"
"USA","9071519","NEGEEN"
"USA","8820925","IRAN SHALAMCHEH"
"USA","9420368","TABAN 1"
"USA","9420356","SHAYAN 1"
"USA","9420370","YARAN"
"USA","9138044","ZOMOROUD"
"USA","9165798","ALVAN"
"USA","9369722","ARIES"
"USA","9283007","ARTABAZ"
"USA","9284154","ARTAM"
"USA","9283021","ARTENOS"
"USA","9305221","ARTIN"
"USA","9284142","ARZIN"
"USA","9165803","AYSAN"
"USA","9283019","AZARGOUN"
"USA","9346536","BASHT"
"USA","9051636","BEHDAD"
"USA","9346548","BEHNAVAZ"
"USA","9165827","ELYANA"
"USA","9323833","GOLAFRUZ"
"USA","9165815","GOLSAN"
"USA","9193185","GOLSAR"
"USA","9167291","JAIRAN"
"USA","9213387","MAHNAM"
"USA","9167277","NESHAT"
"USA","9167265","PARNIA"
"USA","9346524","SHABGOUN"
"USA","9270684","SHAHR E KORD"
"USA","9328900","TOUSKA"
"USA","9036052","HAMD"
"USA","9820271","CANREACH"
"USA","9820312","HYUNDAI MIPO 2655"
"USA","9820324","HYUNDAI MIPO 2656"
"USA","9820336","HYUNDAI MIPO 2657"
"USA","8322076","IRAN CHARAK"
"USA","8314275","IRAN HORMUZ 22"
"USA","8322064","IRAN PARAK"
"USA","8319940","IRAN SHALAK"
"USA","8319952","IRAN YOUSHAT"
"USA","9270696","KASHAN"
"USA","9036935","SOBHAN"
"USA","9051624","ABBA"
"USA","9379636","ABTIN 1"
"USA","9349667","ABYAN"
"USA","9193197","ANDIA"
"USA","9465863","ARDAVAN"
"USA","9193214","ARTAVAND"
"USA","9193202","ARVIN"
"USA","9405954","BAHJAT"
